frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
0,10726,none,,,,,,,,,,,,,,,,,,
1,10726,none,,,,,,,,,,,,,,,,,,
2,10726,none,,,,,,,,,,,,,,,,,,
3,10726,none,,,,,,,,,,,,-9020.75293,-504.022583,1829.265259,-0.148047,-0.325936,-0.462591,0.811084
4,10726,none,,,,,,,,,,,,-9020.373047,-504.006866,1829.230957,-0.14906,-0.324959,-0.462609,0.81128
5,10727,precomputed_fallback,-9632.349587494957,652.8096189376772,3000.0,,,,,,ceiling,unknown,,-9020.049805,-503.99881,1829.14563,-0.149414,-0.324711,-0.462633,0.811301
6,10727,none,,,,,,,,,,,,,,,,,,
7,10727,none,,,,,,,,,,,,,,,,,,
8,10727,none,,,,,,,,,,,,,,,,,,
9,10728,none,,,,,,,,,,,,-9028.988281,-367.657135,1756.864258,0.260459,-0.039349,-0.713741,0.648989
10,10728,none,,,,,,,,,,,,-9028.773438,-367.598541,1757.013916,0.259575,-0.034664,-0.712774,0.65067
11,10728,none,,,,,,,,,,,,-9028.44043,-367.583221,1756.807861,0.259357,-0.038981,-0.714761,0.648329
12,10728,none,,,,,,,,,,,,-9028.209961,-367.539429,1756.809204,0.258517,-0.03812,-0.715332,0.648087
13,10729,none,,,,,,,,,,,,-9028.042969,-367.473267,1756.834473,0.257655,-0.037606,-0.716171,0.647533
14,10729,none,,,,,,,,,,,,-9027.703125,-367.48111,1756.803101,0.257317,-0.037087,-0.716058,0.647821
15,10729,none,,,,,,,,,,,,-9027.328125,-367.48465,1756.678589,0.257835,-0.03776,-0.715733,0.647937
16,10729,none,,,,,,,,,,,,-9026.90625,-367.509033,1756.520508,0.258481,-0.038478,-0.715166,0.648263
17,10730,none,,,,,,,,,,,,-9026.518555,-367.523163,1756.402588,0.258598,-0.038105,-0.714812,0.648629
18,10730,none,,,,,,,,,,,,-9025.957031,-367.648773,1756.205688,0.259535,-0.038777,-0.713608,0.64954
19,10730,none,,,,,,,,,,,,-9026.345703,-367.412567,1756.467041,0.25655,-0.039778,-0.717456,0.646418
20,10730,none,,,,,,,,,,,,-9025.240234,-367.730255,1756.070801,0.259218,-0.0385,-0.71314,0.650197
21,10731,none,,,,,,,,,,,,-9024.804688,-367.791199,1755.967163,0.259313,-0.037943,-0.712508,0.650883
22,10731,none,,,,,,,,,,,,-9024.529297,-367.819519,1756.005493,0.25844,-0.038022,-0.712678,0.65104
23,10731,none,,,,,,,,,,,,-9024.275391,-367.821777,1756.009644,0.257598,-0.037324,-0.712956,0.651109
24,10731,none,,,,,,,,,,,,-9023.829102,-367.893005,1755.877075,0.257688,-0.036391,-0.712247,0.651903
25,10732,none,,,,,,,,,,,,-9023.579102,-367.872314,1755.865845,0.257024,-0.036176,-0.712503,0.651896
26,10732,none,,,,,,,,,,,,-9023.296875,-367.84967,1755.810669,0.256655,-0.035991,-0.712583,0.651964
27,10732,precomputed_fallback,-9451.89964882876,-546.7375264725982,3000.0,,,,,,ceiling,unknown,,-9023.749023,-367.544556,1756.024414,0.254014,-0.037136,-0.716481,0.648654
28,10732,precomputed_fallback,-9453.320320313216,-547.2678233643749,3000.0,,,,,,ceiling,unknown,,-9023.347656,-367.558411,1755.844604,0.254741,-0.037367,-0.715768,0.649143
29,10733,precomputed_fallback,-9466.053074973292,-546.148474047318,3000.0,,,,,,ceiling,unknown,,-9023.076172,-367.546326,1755.777466,0.254647,-0.037345,-0.715685,0.649273
30,10733,none,,,,,,,,,,,,,,,,,,
31,10733,none,,,,,,,,,,,,,,,,,,
32,10733,none,,,,,,,,,,,,,,,,,,
33,10734,none,,,,,,,,,,,,,,,,,,
34,10734,none,,,,,,,,,,,,,,,,,,
35,10734,none,,,,,,,,,,,,,,,,,,
36,10734,precomputed_fallback,-2161.7430156096007,3500.0000000000005,824.5797495913349,,,,,,obstacle,unknown,,-4696.853516,-1597.923096,1580.236572,-0.081165,-0.775762,-0.612587,-0.127839
37,10735,precomputed_fallback,-2172.9785363658525,3500.0,872.8955236309957,,,,,,obstacle,unknown,,-4697.359863,-1597.755005,1580.496948,-0.081061,-0.77405,-0.614665,-0.128306
38,10735,precomputed_fallback,-2343.8690439947068,3500.0,926.0185808489064,,,,,,obstacle,unknown,,-4698.112305,-1597.201172,1581.269531,-0.071956,-0.773038,-0.618879,-0.119264
39,10735,precomputed_fallback,-2267.0337551052785,3500.0,890.34159446062,,,,,,obstacle,unknown,,-4698.689941,-1596.982788,1581.516724,-0.071416,-0.771229,-0.621173,-0.119373
40,10735,precomputed_fallback,-2361.0425105480213,3500.0000000000005,953.421589132398,,,,,,obstacle,unknown,,-4699.347656,-1596.798096,1581.699341,-0.07135,-0.770125,-0.622562,-0.119302
41,10736,precomputed_fallback,-2382.6541152064865,3500.0000000000005,979.0639328418898,,,,,,obstacle,unknown,,-4699.941406,-1596.583252,1581.808594,-0.071241,-0.770263,-0.622448,-0.119072
42,10736,none,,,,,,,,,,,,-9019.227539,-367.996857,1754.529541,0.256741,-0.02988,-0.709894,0.655166
43,10736,none,,,,,,,,,,,,-9019.160156,-368.002258,1754.566895,0.255768,-0.029796,-0.711022,0.654326
44,10736,none,,,,,,,,,,,,-9018.850586,-368.088562,1754.360107,0.256284,-0.029904,-0.711064,0.654074
45,10737,none,,,,,,,,,,,,-9018.537109,-368.147095,1754.037231,0.257576,-0.027812,-0.710842,0.6539
46,10737,none,,,,,,,,,,,,-9018.320313,-368.49292,1754.341431,0.25524,-0.029153,-0.711417,0.654131
47,10737,none,,,,,,,,,,,,-9018.032227,-368.673798,1754.266846,0.255311,-0.028797,-0.71153,0.653997
48,10737,none,,,,,,,,,,,,-9017.931641,-368.782562,1754.307251,0.254726,-0.028419,-0.712393,0.653302
49,10738,none,,,,,,,,,,,,-9017.807617,-368.908173,1754.35022,0.254081,-0.027931,-0.713156,0.652741
50,10738,none,,,,,,,,,,,,-9017.794922,-369.055908,1754.447388,0.252676,-0.025629,-0.713597,0.652899
51,10738,none,,,,,,,,,,,,,,,,,,
52,10738,none,,,,,,,,,,,,,,,,,,
53,10739,none,,,,,,,,,,,,,,,,,,
54,10739,none,,,,,,,,,,,,,,,,,,
55,10739,none,,,,,,,,,,,,,,,,,,
