frame,video_frame,intersection_type,intersection_x,intersection_y,intersection_z,refined_intersection_x,refined_intersection_y,refined_intersection_z,gaze_2d_pixel_x,gaze_2d_pixel_y,object_type,object_class,yolo_confidence,head_position_x,head_position_y,head_position_z,head_quat_x,head_quat_y,head_quat_z,head_quat_w
0,2259,yolo_refined,1349.3014737108351,728.7637681746008,0.0,1734.5951056339936,968.2518217784303,886.103271,966.0,757.0,obstacle,human,0.8115095496177673,1301.991577,891.532166,1558.199341,0.877772,-0.456468,-0.011759,0.144965
1,2259,yolo_refined,1350.9645201260737,732.2918851764402,0.0,1732.878568727279,969.4484530877539,886.103271,966.0,757.0,obstacle,human,0.8115095496177673,1302.855835,892.789551,1558.289307,0.877741,-0.456545,-0.013209,0.144786
2,2259,yolo_refined,1367.038596432836,740.344983286631,0.0,1728.9353020909032,972.1973810599048,886.103271,966.0,757.0,obstacle,human,0.8115095496177673,1303.755371,894.049561,1558.489868,0.878365,-0.455814,-0.013412,0.143279
3,2259,yolo_refined,1369.5671097913512,745.2761948053212,0.0,1727.625342470045,973.1105794246683,886.103271,966.0,757.0,obstacle,human,0.8115095496177673,1304.338379,895.320862,1558.584595,0.878707,-0.455207,-0.014241,0.14303
4,2259,yolo_refined,1375.589342105664,750.0794007493666,0.0,1727.2237803390851,973.3905162070735,886.103271,966.0,757.0,obstacle,human,0.8115095496177673,1305.000244,896.460083,1558.88208,0.879133,-0.454511,-0.013787,0.14267
5,2260,yolo_refined,1385.5525314204838,759.3665834160877,0.0,1722.269903345026,976.8439603424362,886.103271,963.0,773.0,obstacle,human,0.8489736914634705,1305.756958,897.433716,1559.192993,0.87957,-0.454475,-0.013285,0.140118
6,2260,yolo_refined,1395.5036355204736,765.729059749485,0.0,1721.96,977.06,886.103271,963.0,773.0,obstacle,human,0.8489736914634705,1306.396851,898.198303,1559.455811,0.879519,-0.454525,-0.014023,0.140203
7,2260,yolo_refined,1388.880490512607,759.4587367212234,0.0,1722.1999237349012,976.8927444915927,886.103271,963.0,773.0,obstacle,human,0.8489736914634705,1307.140869,898.847229,1559.769531,0.879073,-0.454512,-0.01598,0.14281
8,2260,yolo_refined,1388.823048369776,762.8318086439016,0.0,1721.96,977.06,886.103271,963.0,773.0,obstacle,human,0.8489736914634705,1307.970459,899.707031,1560.178467,0.879461,-0.454497,-0.015248,0.140529
9,2261,precomputed_fallback,1354.3261917830696,763.5755686293687,0.0,,,,,,floor,,,1308.615967,900.185547,1560.518066,0.879173,-0.454261,-0.016779,0.1429
10,2261,precomputed_fallback,1235.4420337108977,751.4077605023691,0.0,,,,,,floor,,,1309.285645,900.726501,1560.852783,0.879221,-0.454098,-0.017195,0.143075
11,2261,precomputed_fallback,1175.2750951343148,761.0920410955789,0.0,,,,,,floor,,,1310.030396,901.340332,1561.17627,0.879539,-0.454139,-0.016544,0.141048
12,2261,precomputed_fallback,1103.5837868767826,765.4265643594299,0.0,,,,,,floor,,,1310.757935,901.790894,1561.485107,0.879425,-0.45417,-0.017304,0.141568
13,2262,precomputed_fallback,1020.0773351139622,747.4147168657512,0.0,,,,,,floor,,,1311.473877,902.207336,1561.802002,0.879368,-0.454173,-0.017908,0.141838
14,2262,precomputed_fallback,910.4421713440756,760.8777631301086,0.0,,,,,,floor,,,1312.265503,902.635742,1562.061279,0.879434,-0.454008,-0.018187,0.141924
15,2262,precomputed_fallback,875.198673552707,755.0814798838344,0.0,,,,,,floor,,,1313.153442,903.079346,1562.342163,0.879328,-0.454108,-0.018804,0.142182
16,2262,precomputed_fallback,853.4904941031309,759.2441062625844,0.0,,,,,,floor,,,1313.998657,903.493103,1562.608276,0.879595,-0.454021,-0.018583,0.140828
17,2263,precomputed_fallback,851.2412903806296,764.3426844693672,0.0,,,,,,floor,,,1314.803101,903.750427,1562.729614,0.879678,-0.454362,-0.017061,0.139394
18,2263,precomputed_fallback,843.827270845489,762.3854339656841,0.0,,,,,,floor,,,1315.498535,903.875183,1562.865234,0.879285,-0.454179,-0.018999,0.142192
19,2263,precomputed_fallback,849.4828567707984,766.6250491419273,0.0,,,,,,floor,,,1316.338135,904.128357,1563.026978,0.879288,-0.454118,-0.019748,0.142263
20,2263,precomputed_fallback,855.7808706684234,771.136236201789,0.0,,,,,,floor,,,1317.002319,904.199341,1563.135742,0.878973,-0.454701,-0.020634,0.142224
21,2264,none,,,,,,,,,,,,,,,,,,
22,2264,none,,,,,,,,,,,,,,,,,,
23,2264,none,,,,,,,,,,,,,,,,,,
24,2264,none,,,,,,,,,,,,,,,,,,
25,2265,none,,,,,,,,,,,,,,,,,,
26,2265,none,,,,,,,,,,,,,,,,,,
27,2265,none,,,,,,,,,,,,,,,,,,
28,2265,none,,,,,,,,,,,,,,,,,,
29,2266,none,,,,,,,,,,,,,,,,,,
30,2266,none,,,,,,,,,,,,,,,,,,
31,2266,none,,,,,,,,,,,,,,,,,,
32,2266,none,,,,,,,,,,,,,,,,,,
33,2267,none,,,,,,,,,,,,,,,,,,
34,2267,none,,,,,,,,,,,,,,,,,,
35,2267,none,,,,,,,,,,,,,,,,,,
36,2267,none,,,,,,,,,,,,,,,,,,
37,2268,none,,,,,,,,,,,,,,,,,,
38,2268,none,,,,,,,,,,,,,,,,,,
39,2268,none,,,,,,,,,,,,,,,,,,
40,2268,none,,,,,,,,,,,,,,,,,,
41,2269,none,,,,,,,,,,,,,,,,,,
42,2269,none,,,,,,,,,,,,,,,,,,
43,2269,none,,,,,,,,,,,,,,,,,,
44,2269,none,,,,,,,,,,,,,,,,,,
45,2270,precomputed_fallback,1039.213165614452,1513.0942233870514,0.0,,,,,,floor,,,1292.193115,911.212646,1594.474365,0.437156,0.860924,0.107782,-0.236831
46,2270,precomputed_fallback,1026.264661630611,1522.919275134727,0.0,,,,,,floor,,,1293.629639,910.760376,1595.860718,0.440621,0.85759,0.108022,-0.242332
47,2270,precomputed_fallback,1026.5049325130865,1533.1182860641422,0.0,,,,,,floor,,,1292.163208,906.992188,1595.624756,0.417987,0.869051,0.114025,-0.23882
48,2270,precomputed_fallback,1035.0425728229166,1553.155272027536,0.0,,,,,,floor,,,1292.743652,906.407471,1595.607788,0.422658,0.866299,0.119882,-0.237726
49,2271,precomputed_fallback,1083.4492548352591,1589.404126467004,0.0,,,,,,floor,,,1292.798096,905.073425,1594.199463,0.419779,0.867797,0.13642,-0.228265
50,2271,precomputed_fallback,1032.9459712949842,1539.589056044456,0.0,,,,,,floor,,,1295.144531,906.115784,1596.087891,0.43307,0.861907,0.116254,-0.236753
51,2271,precomputed_fallback,1023.6210839156364,1535.5347657026402,0.0,,,,,,floor,,,1295.796509,904.833252,1596.539795,0.432023,0.862039,0.115146,-0.238718
52,2271,none,,,,,,,,,,,,,,,,,,
53,2272,none,,,,,,,,,,,,,,,,,,
54,2272,none,,,,,,,,,,,,,,,,,,
55,2272,none,,,,,,,,,,,,,,,,,,
56,2272,none,,,,,,,,,,,,,,,,,,
57,2273,precomputed_fallback,-308.43870134467215,-3000.0,754.0491658721722,,,,,,obstacle,wall,,1394.496094,872.196594,1552.506958,0.769877,-0.18041,-0.016215,0.611946
